20220821	21:01:21	a3957554-6365-4e43-b6b4-7c0ff2ea9231	Not allowed by Cors
20220825	18:48:28	bb676a22-fdb6-4df0-a7a8-bb28763d1009	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:48:38	7f257e55-43c4-4b08-a373-561bad933f2f	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:48:40	8f6e3246-9c8b-4a7d-9e33-e98bc75a06ea	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:48:47	8f580fb9-9d42-4995-998a-409f2550b7c6	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:48:50	c673e9dd-ff89-4b13-907a-1c243803e8a0	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:48:51	7a0434af-f839-4931-9638-d1e0229db02a	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:10	cbdab78c-3cd2-47e8-915b-f2ceddf68617	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:11	8117d273-f32d-4465-a154-2d31ac7aa83e	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:24	b6d480f1-76bb-47ba-8c8d-53c18d05e2a4	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:27	9233e019-8a57-466c-8037-8cf167da425c	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:34	25201ec6-ebb0-46a3-a369-c0090a453bf5	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:37	d9635dc3-200f-4cea-9d1d-148f7ec7cb44	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:49:38	6f0dbc00-2946-4a8b-ba2a-57e97585aabe	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:51:05	25a45b1e-9187-4f53-9f5e-1446e5d1f98e	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:51:09	84582f71-3530-41ea-accc-13449dcd12bf	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:51:34	d116a5ed-2d10-44cc-9551-18fa698c5040	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220825	18:51:46	46f99ab2-a900-4d91-bde7-e3f22999bb7b	Error	querySrv ESERVFAIL _mongodb._tcp.cluster0.ejlap.mongodb.net
20220826	08:23:35	3463b7d5-8b42-4087-97f4-c21f7fcba70a	TypeError	Cannot read properties of undefined (reading 'split')
20220826	08:30:02	4e22c7ea-0e81-453e-9128-6cf2a8324d67	TypeError	Cannot read properties of undefined (reading 'split')
20220826	08:39:16	2591c1ab-38f3-48f9-90d6-0e008358011c	TypeError	Cannot read properties of undefined (reading 'split')
20220826	08:45:37	5807a8f6-8e60-47db-bdb3-ea3d4bcdc388	TypeError	Cannot read properties of undefined (reading 'UserInfo')
20220826	08:49:49	4fa4dc6b-0b20-4e16-b716-e6423a5b1b6a	Error	Cannot set headers after they are sent to the client
20220826	08:50:55	0e183f0f-f55a-4c49-bba8-bbfdb6ed261f	TypeError	Cannot read properties of undefined (reading 'UserInfo')
20220826	08:51:20	559bcf9a-fd6e-46ff-b36f-91969ebe5add	CastError	Cast to ObjectId failed for value "6307f80a15637177dd162bd" (type string) at path "_id" for model "Employee"
20220826	08:52:10	eba85acf-4ef1-4f9d-95b0-edfec865fcb0	CastError	Cast to ObjectId failed for value "6307f80a15637177dd162bd" (type string) at path "_id" for model "Employee"
20220826	08:53:37	8517598d-1b70-4eb9-b2e8-53d987a64600	TypeError	Cannot read properties of undefined (reading 'UserInfo')
20220826	09:00:03	a113ad00-7f8d-41e1-a678-f939292141f5	TypeError	Cannot read properties of undefined (reading 'UserInfo')
20220826	09:00:38	9782b5ab-42a3-418e-aa09-631e2ee59508	ValidationError	Employee validation failed: firstname: Path `firstname` is required.
20220826	09:01:55	a7fcb4ae-9e4e-4cfa-8d0f-3b7ce498b4b4	TypeError	Cannot read properties of undefined (reading 'UserInfo')
20220826	09:02:32	63cce18e-89c5-4070-9357-dbc3fda0bba5	ReferenceError	data is not defined
20220826	09:22:47	f6418c55-e7f1-4969-baa5-b84d3cc6d91f	Error	Cannot set headers after they are sent to the client
20220826	09:25:29	010daa85-eaf6-43b3-92c4-89d5c9522b99	Error	Cannot set headers after they are sent to the client
20220826	09:26:33	15b94550-d312-4a0c-a83d-baab101d476a	Error	Cannot set headers after they are sent to the client
20220826	09:29:43	dac25fd7-1ada-4aa6-b6f6-6422774ea3a2	Error	Cannot set headers after they are sent to the client
20220826	09:30:58	9138a204-a31b-42bf-a1ad-845fcc6186c9	Error	Cannot set headers after they are sent to the client
20220826	09:31:42	21807998-fbca-43dd-ab97-c6be610488b8	Error	Cannot set headers after they are sent to the client
20220826	09:32:06	0dbc6685-0d81-4737-80dd-e039d632d1e4	Error	Cannot set headers after they are sent to the client
20220826	09:34:46	ac47c2d9-c0ca-4e66-8cb3-e81b21e0cf92	TypeError	Cannot read properties of null (reading 'password')
20220826	09:35:18	0abf668a-8d7b-4f7c-a873-5955de6ca896	TypeError	Cannot read properties of null (reading 'password')
20220826	10:29:14	559f3b7f-5d96-4a21-b7da-f91b6cf2d7cb	TypeError	Cannot read properties of null (reading 'password')
20220826	10:44:20	304051b0-d2ec-4243-ab1c-6c50bfb7f46d	TypeError	Cannot read properties of undefined (reading 'authorization')
20220826	10:45:08	531342df-e550-4bd2-8e2e-a9823b89834a	TypeError	Cannot read properties of undefined (reading 'split')
